titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
Passat,68000,"Sfax , 19 days ago",145000,Noir,Manuelle,2017,1.4L,Volkswagen,Passat,7,Berline,Essence,8,"
         Passar 2017
145000 km
essence
        "
Moto Sym NHX 125CC,9500,"Tunis , 15 days ago",200,Blanc,Manuelle,2021,7,"
         Moto très peu utilisée, en bon état de marche,
tableau de bord entièrement digital et très pratique
Rétroviseur droit légèrement fissuré
        ",,,,,,
Megan 2,,"Ariana , 3 days ago",Rouge,Manuelle,2004,1.5L,Diesel,6,"
",,,,,
Golf7,0,"Sfax , 12 days ago",200,Blanc,Manuelle,2014,1.6L,AC,Seven,0,Autres,Diesel,2,"

          golf7 Machalah
          







             Afficher le numéro
            



"
VAS 5054A prise de diagnostic .,480,"Gabès , a month ago",4,"
         Prise de diagnostic pour le groupe VAG (Audi Skoda Seat Volkswagen). Puce OKI full chip, Infineon, Samsung.
Logiciel ODIS 5.6.2
        ",,,,,,,,,,
mini cooper,27500,"Monastir , 21 days ago",200,Blanc,Manuelle,2010,1.4L,mini,Cooper,5,Compacte,Essence,6,"
         mini cooper
essence
        "
ford ecosport 1er Main d'une dame boite 6 année 2019,53000,"Tunis , 7 hours ago",138.000,Vert,Manuelle,2019,1.2L,Ford,Escape,6,Autres,Essence,7,"
         a vendre ford ecosport 1 er Main d'une dame la seule qui l'utilise ,année 2019 km 140.000 full option gante allu ,led avant ,..
trés trés bien entretenu voiture a l'état neuf aucun défaut entretien a temps
les revendeurs ont proposé 51 mille dt
prix demandé 53mille
        "
polo,19000,"Ariana , 9 days ago",400000,Gris,Manuelle,2009,1.2L,Volkswagen,Polo,4,Compacte,Diesel,3,"
         je met en vente une Polo
        "
b9 citroén,41000000,"Ariana , 8 hours ago",200000,Noir,Manuelle,2011,1.1L,Citroen,Berlingo,1.1,Compacte,Diesel,7,"

          b9 citroén
kilométrage :200000
climatiseur marche
tout option
mazout
prix
          







             Afficher le numéro
            




          numéro
          







             Afficher le numéro
            



"
Citroen Berlingo B9,0,"Tunis , a month ago",450000,Manuelle,Noir,Citroen,1.6L,2014,Berlingo,Diesel,5,Berline,4,"
         Citroen Berlingo B9
Bonne Etat
Prix Négociable
        "
Peugeot 207,21500,"Nabeul , 20 days ago",214000,Gris,Manuelle,2006,1.4L,Peugeot,207 SW,5,Compacte,Diesel,3,"
         à vendre une Peugeot 207 en très bon état.
        "
🔶◾ 𝐑𝐀𝐍𝐆𝐄 𝐑𝐎𝐕𝐄𝐑 𝐄𝐕𝐎𝐐𝐔𝐄 𝐑-𝐃𝐘𝐍𝐀𝐌𝐈𝐐𝐔𝐄 ◾🔶,1,"Tunis , 13 hours ago",70000,Gris,Automatique,2020,2.0L,Land Rover,Range Rover Evoque,8,4 x 4,Diesel,10,"
         💥𝗣̲𝗼̲𝘀̲𝘀̲𝗶̲𝗯̲𝗶̲𝗹̲𝗶̲𝘁̲𝗲̲́ ̲𝗱̲𝗲̲ ̲𝗩̲𝗲̲𝗻̲𝘁̲𝗲̲ ̲𝗼̲𝘂̲ ̲𝗘̲𝗰̲𝗵̲𝗮̲𝗻̲𝗴̲𝗲̲
☏︎ 𝟮𝟯 𝟰𝟮𝟲 𝟭𝟯𝟵 / 𝟐𝟒 𝟖𝟐𝟖 𝟕𝟔𝟓 / 𝟐𝟑 𝟖𝟐𝟑 𝟕𝟗𝟗
－ 𝗜𝗺𝗺𝗮𝘁𝗿𝗶𝗰𝘂𝗹𝗮𝘁𝗶𝗼𝗻 ：𝗧𝗨𝗡 𝟮𝟭𝟵
－ 𝗠𝗼𝗱𝗲𝗹𝗲 ：𝟮𝟬𝟮𝟬
－𝗠𝗼𝘁𝗼𝗿𝗶𝘀𝗮𝘁𝗶𝗼𝗻 ：𝟴 𝗖𝗩 𝗗𝗜𝗘𝗦𝗘𝗟
－ 𝗞𝗶𝗹𝗼𝗺𝗲𝘁𝗿𝗮𝗴𝗲 ：𝟳𝟬.𝟬𝟬𝟬 𝗞𝗠
        "
Scooter Électrique NOVAGO Tiger70,4500,"Tunis , an hour ago",0,Rouge,Automatique,2023,3,"
         Scooter Électrique NOVAGO LYNX 25
- Puissance: 1500 Watts
- Vitesse max: 60km/h
- Capacité de la batterie: 30AH
- Autonomie de Batterie: 70 km
- Cycle de vie: jusqu’à 1500 cycles
- Frein Avant/Arrière: Frein à disque/Frein a tambour
- Pneu: 10″ en Acier
- Feu Avant/Arrière: à LED/à halogène
- Tableau de Bord: Digital
- Port de Recharge: USB
- Poids Maximal: 180Kg
- Système d’Alarme:
- Blocage Volant/Blocage Auto des roues/System d’alarme
- Porte Bagage
- Couleur: Gris/Bleu/Rouge/Blanc/Noir
- Garantie: 1 an
        ",,,,,,
"Jante Acier 16"" pour Mercedes - Benz Vito / Sprinter",120,"Ariana , 19 days ago",3,"
         Jante en acier 16"" pour Mercedes - Benz Vito / Sprinter.
        ",,,,,,,,,,
Mahindra SC,35000,"Bizerte , 18 days ago",132600,Blanc,Manuelle,3.0L,2020,Mahindra,Scorpion,7,Pick up,Diesel,3,"
         Très Propre avec cabine frigo .
Prix négociable
        "
Nissan Navara,22644908,"Zaghouan , 20 days ago",80000,Doré,Manuelle,2018,1.2L,Nissan,Navara,10,Autres,Diesel,7,"

          kilométrage 80000
Puissance fiscale 10chv
Première main
Gazoil
Année fin 2018
Boîte 6
Téléphone
          







             Afficher le numéro
            



"
Kia Rio prestige,52000,"Ben Arous , 13 hours ago",71,Rouge,Manuelle,2019,1.2L,Kia,Rio,5,Compacte,Essence,6,"

          70000 KLM
4 cylinder 1.2 L essence 5 ch 圆
-radar et caméra de recul
-auto radio commandes aux volant -usb, apple
carplay,android auto, aux bleutooth,
commandes vocal
-écran tactile 8 pouces
-jantes allum
- climatisation en degré
-fermeture a distance smart clé
-retroviseur rabattable
- 4 vitre électrique
- double clé
-volant multifonction en cuire etc...Prix légerement négociable d dTéléphone
          







             Afficher le numéro
            



"
Voiture Peugeot b9,1,"Nabeul , 19 days ago",296458,Blanc,Manuelle,2009,1.6L,Peugeot,Partner,8,Diesel,Utilitaire,7,"
         Toute option
        "
voiture 🚗 fiat palio,12500,"Sfax , a month ago",157,Gris,Manuelle,2001,>4.0L,Fiat,Palio,4,Autres,Essence,4,"








             Afficher le numéro
            



"
Citroen C3 phase 2,23,"Tunis , 2 days ago",170000,Gris,Manuelle,2012,1.4L,Citroen,C3,5,Compacte,Essence,7,"
         à vendre cittroen c3 phase 2 2012
        "
avender,0,"Monastir , a month ago",24000,Noir,Manuelle,2017,4,"

          moto kawasaki z900
carte grise tunisienne fin Siri
kilométrage 24000
télé
          







             Afficher le numéro
            




          =
          







             Afficher le numéro
            



",,,,,,
Mercedes-Benz classe gle 45 amg,0,"Sfax , 15 hours ago",70000,Blanc,Automatique,2017,3.0L,Mercedes-Benz,Classe GLE,26,Utilitaire,Essence,10,"

          🏁 𝐒𝐓𝐀𝐑 𝐂𝐀𝐑 : 𝐒𝐟𝐚𝐱 𝐫𝐨𝐮𝐭𝐞 𝐥𝐚𝐟𝐫𝐚𝐧 𝐤𝐦 𝟖
🔥 𝐌𝐞𝐫𝐜𝐞𝐝𝐞𝐬 𝐁𝐞𝐧𝐳 𝐜𝐥𝐚𝐬𝐬𝐞 𝙂𝙡𝙚 𝟒𝟓 𝒂𝒎𝒈 𝒑𝒂𝒄𝒌 𝒏𝒊𝒈𝒉𝒕
☑️ 𝙇𝙚𝙨 𝘾𝙖𝙧𝙖𝙘𝙩𝙚́𝙧𝙞𝙨𝙩𝙞𝙦𝙪𝙚𝙨
▪️ 𝘗𝘶𝘪𝘴𝘴𝘢𝘯𝘤𝘦 𝘧𝘪𝘴𝘤𝘢𝘭𝘦 : 𝟸𝟼𝑐𝑣
▪️ 𝘌𝘯𝘦𝘳𝘨𝘪𝘦 : 𝑒𝑠𝑠𝑒𝑛𝑐𝑒 𝟸𝟶𝟷𝟽
▪ 𝘒𝘪𝘭𝘰𝘮𝘦́𝘵𝘳𝘢𝘨𝘦 :7𝟶.𝟢𝟢𝟢 𝘒𝘔 𝑇𝑈 𝟸𝟹𝟸
▪️ 𝘉𝘰𝘪𝘵𝘦 𝘈𝘶𝘵𝘰𝘮𝘢𝘵𝘪𝘲𝘶𝘦 𝟺 𝑚𝑎𝑡𝑖𝑐
☑️ 𝑳𝒆𝒔 𝑶𝒑𝒕𝒊𝒐𝒏𝒔 :
- ℎ𝑎𝑟𝑚𝑎𝑛-𝑘𝑎𝑟𝑑𝑜𝑛 𝑠𝑜𝑢𝑛𝑑 𝑠𝑦𝑠𝑡𝑒𝑚 🔈
- 𝘊𝘢𝘱𝘵𝘦𝘶𝘳 𝘈𝘝/𝘈𝘙
- 𝑡𝑜𝑖𝑡 𝑜𝑢𝑣𝑟𝑎𝑛𝑡
- 𝘟𝘦́𝘯𝘰𝘯
- 𝐼𝑛𝑡𝑒́𝑟𝑖𝑒𝑢𝑟 𝑎𝑙𝑐𝑎𝑛𝑡𝑎𝑟𝑎 𝑓𝑖𝑛𝑡𝑖𝑜𝑛 𝑎𝑚𝑔
- 𝑗𝑎𝑛𝑡𝑒𝑠 21*
- 𝘓𝘌𝘋 𝘈𝘝/𝘈𝘙
- 𝘊𝘩𝘢𝘪𝘴𝘦𝘴 𝑚𝑒́𝑚𝑜𝑟𝑖𝑠𝑒́𝑒𝑠 𝑒́𝑙𝑒𝑐𝑡𝑟𝑖𝑞𝑢𝑒𝑠
- 𝑐ℎ𝑎𝑖𝑠𝑒𝑠 𝑐ℎ𝑎𝑢f𝑎𝑛𝑡𝑠
- 𝘝𝘪𝘵𝘳𝘦𝘴 𝘛𝘦𝘪𝘯𝘵𝘦́𝘦𝘴
- 𝘊𝘭𝘪𝘮𝘢𝘵𝘳𝘰𝘯𝘪𝘤 𝐴𝑉
- 𝘴𝘺𝘴𝘵𝘦̀𝘮𝘦 𝘥𝘦 𝘯𝘢𝘷𝘪𝘨𝘢𝘵𝘪𝘰𝘯
- 𝐶𝑎𝑚𝑒́𝑟𝑎
- 𝘙𝘦́𝘨𝘶𝘭𝘢𝘵𝘦𝘶𝘳 / 𝘓𝘪𝘮𝘪𝘵𝘦𝘶𝘳 𝘥𝘦 𝘷𝘪𝘵𝘦𝘴𝘴𝘦
- 𝘙𝘦́𝘵𝘳𝘰𝘷𝘪𝘴𝘦𝘶𝘳𝘴 𝑒́𝑙𝑒𝑐𝑡𝑟𝑖𝑞𝑢𝑒𝑠 𝑟𝑎𝑏𝑎𝑡𝑡𝑎𝑏𝑙𝑒𝑠
- 𝑃𝑎𝑟𝑘 𝑝𝑖𝑙𝑜𝑡𝑒
- 𝘴𝘺𝘴𝘵𝘦̀𝘮𝘦 𝘴𝘵𝘢𝘳𝘵/𝘴𝘵𝘰𝘱
𝐎𝐧 𝐚𝐜𝐜𝐞𝐩𝐭𝐞 𝐥'𝐞́𝐜𝐡𝐚𝐧𝐠𝐞 𝐝𝐞𝐬 𝐯𝐨𝐢𝐭𝐮𝐫𝐞𝐬 𝐞𝐧 𝐛𝐨𝐧 𝐞́𝐭𝐚𝐭 𝐬𝐞𝐮𝐥𝐞𝐦𝐞𝐧𝐭 𝐚𝐮 𝐬𝐡𝐨𝐰𝐫𝐨𝐨𝐦 𝐒𝐓𝐀𝐑 𝐂𝐀𝐑 𝐞𝐭 𝐩𝐨𝐮𝐫 𝐩𝐥𝐮𝐬 𝐝’𝐢𝐧𝐟𝐨𝐫𝐦𝐚𝐭𝐢𝐨𝐧 𝐜𝐨𝐧𝐭𝐚𝐜𝐭𝐞𝐳-𝐧𝐨𝐮𝐬: 📞 (+𝟐𝟏𝟔) 𝟓𝟒 𝟓𝟖𝟖 𝟑𝟎𝟑
          







             Afficher le numéro
            



"
AV TIVOLI CLASSY MODÈLE 2020,62900,"Ariana , 22 days ago",64000,Noir,Manuelle,2020,1.2L,Ssangyong,Rodius,6,Autres,Essence,8,"
         AV TIVOLI CLASSY MODÈLE 2020 COULEUR NOIR TOUTES OPTIONS.AGE AOUT 2020
60000 KM
        "
Peugeot 301,23.5,"La Manouba , 7 hours ago",200000,Noir,Manuelle,2015,3.0L,Peugeot,301,5,Compacte,Essence,8,"
         Peugeot 301 en bonne état modèle 2015 5ch essence 4vitre électrique 4 pneu neuf clima électronique Radar de recul
        "
moissonneuse batteuse,0,"Siliana , 24 days ago",2024,6,"








             Afficher le numéro
            



",,,,,,,,,
Un ensemble de trois tapis,65,"Tunis , 8 days ago",5,"
         Un ensemble de trois tapis
        ",,,,,,,,,,
scarabeo,1500,"Tunis , 19 days ago",30000,Rouge,Automatique,2015,3,"

          a vendre une tres belle scarabeo num tel
          







             Afficher le numéro
            



         dispo tunis centre ville prix 1500Dt
        ",,,,,,
Opel Corsa,12500,"Ben Arous , a month ago",0,Vert,Manuelle,0,<1.0L,Opel,Corsa,4,Compacte,Essence,5,"
         je mets en vente ma voiture Opel corsa très bonne occasion
        "
Voiture,26268005,"Nabeul , a month ago",189000,Noir,Manuelle,2014,1.5L,Peugeot,Partner,5,Utilitaire,Diesel,3,"
         Voiture B9
        "
Peugeot 404,1,"Nabeul , a month ago",999,Blanc,Manuelle,1987,2.0L,Peugeot,404,8,Utilitaire,Diesel,4,"

          Peugeot 404
en bonne état
tél:
          







             Afficher le numéro
            



"
Voiture Peugeot 206,0,"Ben Arous , a month ago",0,Rouge,Manuelle,Peugeot,1.1L,0,206,Essence,Autres,0,4,"
         Voiture Peugeot 206
        "
A vendre lifan 110,2200,"Ben Arous , a month ago",10000,Rouge,Manuelle,2021,4,"
         للبيع دراجة نارية في حالة جيدة
        ",,,,,,
"Prix choc Vente accessoirs porte droit avant mahindra kuv 100 k6/k8 vitre panneau, rétroviseur ..98922949/50922949.",0,"Ben Arous , a month ago",3,"

          Prix choc Vente accessoirs porte droit avant mahindra kuv 100 k6/k8 vitre panneau, rétroviseur
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         .
        ",,,,,,,,,,
peugeot boxer,18000,"Ariana , 18 days ago",9999999,Blanc,Manuelle,2005,<1.0L,Peugeot,Boxer,6,Autres,Diesel,9,"
         feha moteur jdid
a vendre ou echange avec iveco
        "
C3 à vendre,37,"Tunis , a month ago",64000,Noir,Manuelle,2020,3.0L,Citroen,C3,4,Autres,Essence,8,"
         C3 nouveau,4 chevaux,64000 kilomètres voiture presque neuve,ttes options
        "
CITROEN C4 CACTUS,1,"Monastir , 20 days ago",94000,Bleu,Manuelle,2019,1.2L,Citroen,C4 Cactus,5,Compacte,Essence,10,"

          CITROEN C4 CACTUS
○ Année 2019
○ Kilométrage 94 000 KM
○ Puissance : 5 CV ESSENCE
○ Boite Manuelle
✅Camera de recule
✅Radar de recul
✅Détecteur de luminosité
✅Détecteur de pluie
✅Fermeture centralisée
✅Feux De Jour LED
✅Jantes en alliage
✅Peinture métallisée
✅Rétroviseurs électriques Rabattable
✅Vitres Arriére Papillon Surteintées
✅Bluetooth
✅Boîte à gants réfrigérée
✅Climatronic
✅Connectivité Aux, usb, iPod
✅Direction assistée
✅GPS
✅Ordinateur de bord
✅Régulateur de vitesse
✅Sièges Tissu
✅Vitres électriques
✅Volant/levier de vitesse en cuir
✅Volant multi-fonctions
✅3 appuis têtes arrières
TEL
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
💎 RANGE ROVER SPORT Diesel TU 226 💎,0,"Tunis , 5 days ago",169000,Blanc,Automatique,2021,3.0L,Land Rover,Range Rover Sport,16,4 x 4,Diesel,10,"

          💎 RANGE ROVER SPORT Diesel TU 226 💎
☎️ TEL :
          







             Afficher le numéro
            



         ➡️ 10/05/2010 TU 226
➡️ 3.0L Diesel 16 CV
➡️ 169 000 MKm
🔄 Échange Possible
📬 Disponible à Notre Showroom SYPHAX AUTO PRIX La Marsa
        "
bmw 316 e30 m40b16 7 cv essence,8700,"Tunis , 10 days ago",350000,Rouge,Manuelle,1989,1.6L,BMW,Serie 3,7,Berline,Essence,10,"
         karhba m3awda fihch sousse
4 vitre électrique
toit ouvrant
climatiseur yesth9 tasli7
nécessite kelk retouches (800d )
        "
🚘 Volkswagen Golf 7 Restylée TDI Toit Panoramique BVA Highline Bluemotion importée dernière série Full option 🚘,0,"Nabeul , a day ago",158000,Gris,Automatique,2020,1.6L,Volkswagen,Golf 7,6,Compacte,Diesel,10,"

          🚘 Volkswagen Golf 7 Restylée Toit Panoramique BVA Highline Bluemotion importée dernière série Full option 🚘
📌 Voiture importée Fin Serie 📌
✔Model : 2020
✔Kilométrage : 158 000Km certifié
✔Puissance : 6 CV
✔Énergie : Diesel
✅Toit Panoramique
✅Camera
✅écran GPS
✅Led
✅compteur cockpit
✅start & Stop
✅Climatronic
✅4 vitres électriques
✅volant multifonction
✅Rétroviseurs rabattable
✅radar de recule avant et arrière
📲Téléphone :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         📲
⚡On accepte l'échange⚡
📌 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell 📌
        "
poste volkswagen origine neuf,300,"Ariana , 22 days ago",3,"
         golf 6, amarok, caddy.......
        ",,,,,,,,,,
cabine Road Ranger dmax,1,"Monastir , a month ago",4,"
         a vendre cabine road ranger dmax très bonne état
        ",,,,,,,,,,
Nissan,78000,"Ariana , 8 days ago",90000,Blanc,Manuelle,2017,2.0L,Nissan,Qashqai,7,Autres,Diesel,8,"

          pour pour d’informations
contactez-moi sur le num :
          







             Afficher le numéro
            



"
vendre voiture,0,"Jendouba , 12 days ago",Blanc,Citroen,Berlingo,Diesel,5,"
",,,,,,
peugeot 301,25000,"Ariana , 4 days ago",70000,Gris,Manuelle,2018,1.2L,Peugeot,301,5,Autres,Essence,4,"
         à vendre peugeot 301 en bonne état
        "
Citroën C 5,32,"Sfax , a month ago",00,Gris,Manuelle,2010,1.6L,Citroen,C5,6,Autres,Diesel,8,"








             Afficher le numéro
            



         citroen c5
Année: 2010
6 cv diesel hdi
climatronic
4 vitres électriques
rétroviseurs rabattable
accoudoir avant et arrière
volant multifonctions
sièges électriques mémorisées
Dedecteur de pluie
        "
piago,785,"Monastir , 11 days ago",0000,Autre,Manuelle,2020,3,"
         ndhifa
        ",,,,,,
a vendre opel astra station wagon model 2009 1.7 cm3 ecotech première main,30000,"Mahdia , 6 days ago",238000,Gris,Manuelle,2009,1.7L,Opel,Astra,6,Berline,Diesel,8,"

          opel astra h station wagon diesel première main toute option modèle 2009 boîte 6 vitesses 1.7cm3 consomation très faible pour contacter wattsapp
          







             Afficher le numéro
            



         548
        "
Nissan qashqai,68999,"Tunis , 16 hours ago",100000,Gris,Manuelle,2017,1.6L,Nissan,Qashqai,7,Monospace,Diesel,4,"

          très belle voiture nissan qashqai 1er main, visible a menzeh 4, cylindré 1.6, contacte
          







             Afficher le numéro
            



"
للبيع سيارة c3 diesel citroen,16500,"Kairouan , 3 days ago",303000,Gris,Manuelle,2009,1.6L,Citroen,C35,5,Autres,Diesel,1,"

          للبيع سيارة c3 diezel citroen, climatiseur, abs, airbag, vitre electrique, fermeture centrale.
          







             Afficher le numéro
            



"
Peugeot 3008,79797979,"Tunis , 7 days ago",100000,Noir,Automatique,2019,2.5L,Peugeot,3008,7,4 x 4,Essence,8,"
         Peugeot 3008 en très bon état
130ch
101.000 km certifié
pickup 4*4 avec 4 mode de conduite
caméra de recule
vitres 100%100 origines
tôlerie 100%100 origines
4 pneus neufs
radar de recule avant arrière
bouton start stop
palette de volant
boîte automatique eat 8
        "
Sbeitla-mghilla,170000000,"Sidi Bouzid , a month ago",91237,Noir,Manuelle,2022,3.0L,Volkswagen,Tiguan,8,4 x 4,Diesel,2,"

          Sbeitla-mghilla
          







             Afficher le numéro
            



         Bienvenue
        "
Bmw serie 3 F30 Luxury,1234,"Tunis , 16 days ago",170,Noir,Automatique,2014,1.6L,BMW,Serie 3,7,Berline,Essence,8,"

          vendre bmw f30 316i pack luxury bien entretenu zéro dépense toute option
170km
Année 2014
7cv essence ⛽️
4 cylindre
Boite auto 3 mode de conduite , ecopro/confort/sport
Climtronique bi zone
Usb/bluetooth
Commande au volant
Siège cuir
Feux full led/bi xénon
Système de navigation
Rétroviseur électrique rabatable
Radar arrière
Volant cuir
N°
          







             Afficher le numéro
            



"
Ford Fiesta titanium 2017 forssaa,320000,"Tunis , 7 days ago",162000,Autre,Manuelle,2017,1.3L,Ford,Fiesta,5,Utilitaire,Essence,8,"

          Forssa (besoin d'argent)
Je mets en vente Ford fiesta Titanium 1.25L
➡️ Premiere main
➡️ 4 cylindres, 5cv
➡️ Année : 2017
➡️ km : 162.000
➡️ Intérieur d'origine
➡️ Poste d'origine, commande au volant
➡️ Double airbag
➡️ Climatiseur ❄
➡️ Deux vitres électriques
➡️ 2 clés d'origine
Contact :
          







             Afficher le numéro
            



"
hyundai grand i10,35000,"Nabeul , 10 days ago",103000,Gris,Manuelle,2018,1.2L,Hyundai,I 10,5,Autres,Essence,7,"

          double clés
kilométrage : 103000
modèle : 5/2018
boite manuelle
essence 5 cv. 4 cylindres. 1.2L
climatsseur
num :
          







             Afficher le numéro
            



"
PEUGEOT 3008 BVA,1,"Ariana , 8 days ago",17000,Noir,Automatique,2022,1.6L,Peugeot,3008,9,4 x 4,Essence,10,"

          A vendre une belle Peugeot 3008 en état neuf:
▪︎Mise en circulation : 05/2022
▪︎Immatriculation : 229
▪︎Transmission : automatique
▪︎Motorisation : ⛽ essence
▪︎Puissance fiscale : 09 cv
▪︎cylindrées : 1.6
▪︎Kilométrage : 17.000
▪︎Couleur : noir Peinture métallisée
▪︎Catégorie : SUV
Pour plus d'informations n'hésite pas à nous contacter sur les numéros suivants ⤵️
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         ✅ disponible sur WhatsApp
🏁 localisation & adresse
🚩 autoroute de Bizerte km 5 ennahli cite la gazela près meuble 5 étoiles 🌟
        "
Très bon voiture,0,"Tunis , a month ago",168000,Rouge,Manuelle,2010,1.4L,Alfa Romeo,Mito,5,Autres,Essence,10,"

          ✅ ALFA ROMEO MITO
✔️ Kilométrage 168000 km
✔️Jantes allum 16 pouces
✔️ 4 pneus neuf
✔️ Motorisation essence 05 cv 1.4
✔️ Kit embrayage neuf
✔️ Toutes options
✔️ Année fin 2010
✔️ boite manuelle 6 rapports
📞
          







             Afficher le numéro
            



"
b9 partner peugeot,31,"Sfax , a month ago",240,Blanc,Manuelle,2013,1.6L,Peugeot,Partner,5,Utilitaire,Diesel,10,"

          Peugeot partner b9
Energie : diesel
Mise en circulation: 2013
Kilométrage : 240 mille km
Pour contacter appeler :
          







             Afficher le numéro
            



"
grand i10,27000,"Ariana , 17 days ago",175000,Rouge,Manuelle,2015,1.2L,Hyundai,I 10,5,Compacte,Essence,2,"

          A vendre grand i10 première main 175000km essentiellement sur autoroute très bon état bien entretenue zéro dépenses à prévoir visible à Bizerte et tunis prix 27000d tel
          







             Afficher le numéro
            



"
Nissan MICRA,27000,"Tunis , a month ago",198000,Rouge,Manuelle,2018,Nissan,Micra,Essence,2,"
",,,
Volkswagen Passat,65000,"Sfax , a month ago",130000,Noir,Manuelle,2016,2.0L,Volkswagen,Passat,7,Berline,Essence,4,"

          Volkswagen Passat Noire, année 2016.
Boite manuelle, 7CV, 130 000km environ.
Vitrage automatique, pneus neufs, climatisation, entretien général à jour, USB/Bluetooth..
Très agréable à conduire, pratique pour déplacements en ville et voyages.
Personne à contacter :
          







             Afficher le numéro
            




          (Propriétaire)
          







             Afficher le numéro
            



         (Assistant)
        "
clio,18400,"Médenine , 16 days ago",122,Autre,Manuelle,2000,1.2L,Renault,Clio,4,Compacte,Essence,10,"

          Belle clio importer 🇲🇫
Montage francaise ✅
Kol chy fe l'origine✅
Dahnet edar✅
Modele 2000✅
Essence 4chv ✅
Câble✅
3emla 122 alf klm✅
Climatisé ✅
Assissté✅
Deux vitre electrique✅
Tous les barbrises origine ✅
Intérieure origine ✅
Fermeture centrale ✅
Double airbags✅
Double clé ✅
          







             Afficher le numéro
            



         ✅
        "
Renault Fluence modèle 2012,27.5,"Jendouba , a month ago",240000,Blanc,Manuelle,2012,1.6L,Renault,Fluence,7,Berline,Essence,8,"
         Renault fluence à l'état tout options 7ch bva boîte manuelle 4viter électrique modèle 2012 klm240 climatisation b.zone électrique Bluetooth démarrage limitateur de vitesse et régulateur 🔑 clé intelligent tel
        "
Mini Cooper one,35,"Nabeul , 18 days ago",182000,Blanc,Manuelle,2009,1.4L,mini,One,5,Autres,Essence,10,"

          🚘🚗 Mini one 🚗🚘
🏁 180,000 KM
📅 2009
⛽️5 CV Essence
⚠️Options⚠️
➖ Jantes alliage 18 p
➖ 2 Vitres Electriques
➖ Climatisation
➖ Régulateur de vitesse
➖ Alarme Meta Système
☎️📱
          







             Afficher le numéro
            



         📱☎️
        "
Porte bagage,140,"Ben Arous , 2 days ago",4,"
         Excellente état
        ",,,,,,,,,,
Mercedes Benz E180 kit AMG,0,"Tunis , 13 hours ago",85000,Blanc,Automatique,2019,1.8L,Mercedes-Benz,Classe E,9,Berline,Essence,10,"
         Mercedes Benz E180 kit AMG
        "
geely gc6,0,"Sfax , a month ago",43000,Blanc,Manuelle,2020,1.6L,Geely,GK-GS,6,Compacte,Essence,9,"

          geely gc6 très propres kol chy fiha 3a d'origine
poste Android tactile
stalation gaz
4 vitre électriques
retrevisseure électrique
roue de secours jamais utilisé
salon originale
......
hetha mon numéro
          







             Afficher le numéro
            



"
,0,"Nabeul , a month ago",0,Gris,Manuelle,1999,1.2L,Volkswagen,Golf 2,0,Autres,Diesel,4,"
"
Peugeot 308,0,"Tunis , a month ago",99,Noir,Manuelle,2018,<1.0L,Peugeot,308,6,Compacte,Essence,5,"

          ☏ :
          







             Afficher le numéro
            




          À vendre voiture Peugeot 308 toute option moteur turbo phase 2
▸ Modele : 2018
▸ Kilométrage : 98 alf km
▸ Puissance fiscals : 6 cv
▸ Energie : Essence
▸ Boite manuelle
▸ système start and stop 🛑
▸ 4 vitre électrique , feu led
▸ 5 pneus neuf
------------------------------------
🛑 prix négociable
☏ :
          







             Afficher le numéro
            



"
Suzuki baleno,55000,"Sfax , a month ago",75000,Bleu,Automatique,2019,1.5L,Suzuki,Baleno,5,Berline,Essence,4,"
         Suzuki baleno
Mois 11 2018
75000 km
Boîte automatique
Tout options
        "
citroen c4 cactus,36000,"Ariana , 15 days ago",177000,Rouge,Manuelle,2020,1.2L,Citroen,C4,5,Autres,Essence,8,"
         A vendre citroen c4 cactus
        "
clio,16,"Bizerte , 24 days ago",25000,Gris,Manuelle,1999,1.2L,Renault,Clio,6,Compacte,Essence,8,"
         clio câbles ndifa awrkha halsa
        "
Megane 3 1.5 dci,30000,"Nabeul , a month ago",320,Bleu,Manuelle,2011,1.5L,Renault,Megane,5,Compacte,Diesel,8,"
         Je mets à vendre ma megane 3 1.5 dci,
État carrosserie 97%
État moteur 90%
État boîte 90%
Batterie +pneus encore sous garantie
Huile utilisé : castrol 5w40
Kilométrage : 320mkm
Consommation : 4L / 100km
État impeccable.
        "
Mercedes w124 a vendre,8500,"Sousse , 7 days ago",380000,Noir,Manuelle,1987,2.0L,Mercedes-Benz,250,8,Berline,Diesel,6,"
         A vendre mercedes 200 en marche
        "
