titre,prix,gouvernerat et date dajout,Kilométrage,Couleur du véhicule,Boite,Année,Cylindrée,Marque,Modèle,Puissance fiscale,Type de carrosserie,Carburant,Number of Pictures,Description
dacia sandero stepway 2022,0,"Sousse , 3 hours ago",47000,Rouge,Manuelle,2022,1.2L,Dacia,Sandero,5,Compacte,Essence,10,"

          dacia sandero stepway 2022 Essence 5 cv 47.000 km importer dernier série toute option
          







             Afficher le numéro
            












             Afficher le numéro
            



"
Mégane 3,52535843,"Sousse , 13 days ago",270000,Noir,Manuelle,2012,1.6L,Renault,Megane Estate,5,Berline,Diesel,7,"

          av une belle megane 3 TomTom en excellent état contactez
          







             Afficher le numéro
            



"
Ford Focus 1ère main,39000,"Ariana , a month ago",147500,Noir,Manuelle,2016,<1.0L,Ford,Focus,6,Compacte,Essence,5,"

          Cause départ particulier vend Focus EcoBoost 1ère main
Mise en circulation 09/2016
Kilométrage 156 000 Km
Entretiens réguliers chez maison Ford (Kit chaîne remplacé)
Jantes aluminium (Pneus changés)
Radar de recul
Vitres électriques
Accoudoir central avant
Climatisation automatique
Autoradio/Bluetooth
Ordinateur de bord
Volant cuir multifonctions réglable
Peinture d'origine
Deux clefs disponibles
Contact propriétaire
          







             Afficher le numéro
            



"
Renault midlum,0,"Sousse , a month ago",220000,Blanc,Manuelle,2007,>4.0L,Renault,Midlum,18,Autres,Diesel,9,"

          Renault midlum 2007 diesel 18 cv 220.000 km importer
          







             Afficher le numéro
            



"
𝑺𝑬𝑨𝑻 𝑰𝑩𝑰𝒁𝑨 𝑺𝑻𝒀𝑳𝑬,50000,"Tunis , 22 days ago",82000,Gris,Manuelle,2018,1.2L,Seat,Ibiza,4,Berline,Essence,7,"
         𝑨 𝒗𝒆𝒏𝒅𝒓𝒆 𝑺𝑬𝑨𝑻 𝑰𝑩𝑰𝒁𝑨 𝑺𝑻𝒀𝑳𝑬
08/07/2018
𝑬𝒏𝒆𝒓𝒈𝒊𝒆 : 𝑬𝒔𝒔𝒆𝒏𝒄𝒆
𝑷𝒖𝒊𝒔𝒔𝒂𝒏𝒄𝒆 𝒇𝒊𝒔𝒄𝒂𝒍𝒆: 4𝒄𝒗
𝑲𝒊𝒍𝒐𝒎𝒆́𝒕𝒓𝒂𝒈𝒆: 82.000𝒌𝒎
𝑳𝒆𝒔 𝒐𝒑𝒕𝒊𝒐𝒏𝒔 :
𝑴𝒖𝒍𝒕𝒊𝒇𝒐𝒏𝒄𝒕𝒊𝒐𝒏𝒔 ✓
𝑩𝒍𝒖𝒆𝒕𝒐𝒖𝒕𝒉 / 𝑨𝑼𝑿 / 𝑼𝑺𝑩 ✓
𝑬𝒄𝒓𝒂𝒏 𝒕𝒂𝒄𝒕𝒊𝒍𝒆 ✓
𝑪𝒂𝒎𝒆́𝒓𝒂 ✓
𝑳𝑬𝑫 ✓
𝑻𝒐𝒊𝒕 𝒑𝒂𝒏𝒐𝒓𝒂𝒎𝒊𝒒𝒖𝒆 𝒐𝒖𝒗𝒓𝒂𝒏𝒕 ✓
𝑪𝒂𝒑𝒕𝒆𝒖𝒓 𝑨𝑽/𝑨𝑹 ✓
𝑱𝒂𝒏𝒕𝒆𝒔 15"" ✓
𝑽𝒊𝒕𝒓𝒆𝒔 𝒕𝒆𝒊𝒏𝒕𝒆́𝒆𝒔 ✓
𝑹𝒆́𝒈𝒖𝒍𝒂𝒕𝒆𝒖𝒓/𝑳𝒊𝒎𝒊𝒕𝒆𝒖𝒓 𝒅𝒆 𝒗𝒊𝒕𝒆𝒔𝒔𝒆 ✓
4 𝒗𝒊𝒕𝒓𝒆𝒔 𝒆́𝒍𝒆𝒄𝒕𝒓𝒊𝒒𝒖𝒆𝒔 ✓
𝑹𝒆́𝒕𝒓𝒐𝒗𝒊𝒔𝒆𝒖𝒓𝒔 𝒓𝒂𝒃𝒂𝒕𝒕𝒂𝒃𝒍𝒆𝒔 ✓
Prix : 50md
        "
BMW X5,55588884,"Ben Arous , 14 days ago",250,Blanc,Automatique,2009,3.0L,BMW,X5,15,4 x 4,Diesel,10,"

          ⛽Énergie: 15 cv Diesel ⛽
🔥 mécanique bien entretenue
🗓Année: 10/2009 🗓
✅ Boîte de vitesse automatique
☎️
          







             Afficher le numéro
            




          ⛽Énergie: 15 cv Diesel ⛽
🔥 mécanique bien entretenue
🗓Année: 10/2009 🗓
✅ Boîte de vitesse automatique
☎️
          







             Afficher le numéro
            



"
Hyundai Grand i10 BVA,123,"Sfax , 10 days ago",113000,Noir,Automatique,2018,1.2L,Hyundai,I 10,5,Compacte,Essence,10,"
         Grand i10 1.2 4 cylindres
boite auto
jantes allu
start button
toutes options
2018
113,000km
        "
BMW F30 316i Luxury,0,"Ariana , 4 days ago",170,Noir,Automatique,2014,1.6L,BMW,Serie 3,7,Compacte,Essence,8,"

          ⚜️ BMW F30 316i Luxury ⚜️
Première main
➖ Année : 2014
➖ Kilométrage: 170.000
➖ Puissance Fiscale: 7 CH
➖ Energie: Essence
Les Caractéristiques:
Full LED - BVA - finition en bois - Connectivité Bluetooth - Intérieur Cuir - Feux arrière et feux de jour a LED - rétroviseurs rabattable electriquement - camera de recul - Sièges électriques mémorisées
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
tableau de bord Renault clio 3 origine,0,"Nabeul , 2 days ago",1,"
         kit Airbag + tableau de bord Renault clio 3 origine comme neuf
calculateur Airbags
        ",,,,,,,,,,
▶ KIA SPORTAGE GT-Line,0,"Tunis , 4 hours ago",67000,Noir,Automatique,2019,1.7L,Kia,Sportage,7,Autres,Diesel,10,"

          ▶ KIA SPORTAGE GT-Line ◀
▶ Modele : 2019
▶ Boite Automatique
▶ Kilométrage : 67 000 mkm
▶ Puissance fiscale : 7 cv
▶ Energie : Diesel
▶ Climatronic
▶ Camera
▶ Toit Panoramique
▶ Siéges électriques
▶ Keyless GO
▶ Feux LED
▶ Xénon
▶ Volant multifonction
▶ Jantes alliage
☎ :
          







             Afficher le numéro
            



"
SSANGYONG REXTON,0,"Sfax , 6 days ago",42000,Noir,Automatique,2014,2.0L,Ssangyong,Rexton,10,4 x 4,Diesel,10,"
         ✔️A Vendre chez Narciso CAR ✔️
🚫 SSANGYONG REXTON RX200 🚫
✔️ 2.0 L e-XDI
☑️ 𝙇𝙚𝙨 𝘾𝙖𝙧𝙖𝙘𝙩𝙚́𝙧𝙞𝙨𝙩𝙞𝙦𝙪𝙚𝙨 :
▪️ 𝖨𝗆𝗆𝖺𝗍𝗋𝗂𝖼𝗎𝗅𝖺𝗍𝗂𝗈𝗇 : 175
▪️ Année :9/2014( carte grise première main)
▪️ 𝖯𝗎𝗂𝗌𝗌𝖺𝗇𝖼𝖾 𝖿𝗂𝗌𝖼𝖺𝗅𝖾 : 10 𝖢𝖵
▪️ 𝖤𝗇𝖾𝗋𝗀𝗂𝖾 : Diesel
▪ 𝖪𝗂𝗅𝗈𝗆𝖾𝗍𝗋𝖺𝗀𝖾 : 42.000 𝖪𝖬 certifié
▪️ Boite automatique
▪️Carrosserie : 4x4
☑️ 𝑳𝒆𝒔 𝑶𝒑𝒕𝒊𝒐𝒏𝒔 :
- Volant Multifonction
- Antibrouillards
- Barres de toit
- Feux de position à LED
- Toit ouvrant
- Climatronique
- Capteur Av/Ar
- 𝟺 vitre électrique
- Jantes En aluminium, 18""
- Régulateur de vitesse
- Autoradio 8 haut-parleurs, Commandes au volant
- Salon cuir
- Finition intérieure Bois
- Allumage automatique des feux
- Rétroviseurs extérieurs Électriques, Rabattables, Dégivrants, Avec clignotants
- Nombre de places 7
- Contrôle automatique de la pression de des pneus
📍 Adresse : Ceinture H.borguiba de Kaied Mhamed vers Teniour sfax Tunisie
        "
golf4 1.6,1550,"Tunis , 14 days ago",0111,Argent,Manuelle,1111,1.6L,Volkswagen,Golf,5,Utilitaire,Essence,9,"
         golf4 1.6 tout option.
moteur en bonne état
Tolerie moyenne
        "
PHARE AVANT BMW SÉRIE 3 (E90) PHASE 1,1000,"Tunis , 18 days ago",5,"
         À vendre, phare avant d'origine pour BMW Série 3 (E90) Phase 1.
        ",,,,,,,,,,
boite vitesse c3 206 106,0,"Tunis , a month ago",1,"
         a vendre boîte vitesses
c3
106
206
très propre
        ",,,,,,,,,,
cherche FCR,5000,"Kairouan , 9 days ago",1,"
         je cherche FCR personne sérieuse payement en Euro possible
        ",,,,,,,,,,
Chery tigoo 2,41500,"Médenine , 2 days ago",63,Blanc,Manuelle,2020,1.5L,Chery,Tiggo,6,Autres,Essence,7,"

          Chery tigoo 2 année 2020 TLF
          







             Afficher le numéro
            



"
Chery Tiggo8 pro,100000,"Tunis , a month ago",58000,Bleu,Automatique,2021,1.5L,Chery,Tiggo,11,4 x 4,Essence,9,"

          Particulier met en vente une chery tiggo 8 pro . 7 Places colour unique Bleue nuit . Fin novembre 2021 .1ere main . 58000km . Ttes option .prix 100 mille dinars .tel
          







             Afficher le numéro
            



         Visite sur RDVen face la pharmacie centrale menzah 1 tunis
        "
NEMO 2015 1ER MAIN,25500,"Ariana , 5 days ago",98000,Blanc,Manuelle,2015,1.4L,Citroen,Nemo,5,Utilitaire,Diesel,5,"
         À vendre Citroen Nemo
✅ prix 25.500 dinars
🔰 Matricule 184 🔰
⛽Énergie: 5 cv Diesel ⛽
🔥 mécanique bien entretenue
🗓Année: 09/2015 🗓
✅ Boîte de vitesse manuelle
        "
Voiture en très bonne état,99000,"Tunis , 6 days ago",92000,Argent,Automatique,2017,2.0L,Mazda,CX-9,15,4 x 4,Essence,10,"
         Une mazda cx-9 année 2017 en très bonne état.
        "
BMW 116i sport boite automatique année 2013 tel 53 212 212,1,"Monastir , a month ago",200000,Blanc,Automatique,2013,1.6L,BMW,Serie 1,7,Berline,Essence,10,"








             Afficher le numéro
            



"
gsxr 1000 k8,27000,"Gabès , a month ago",37000,Bleu,Manuelle,2009,3,"
         km37000
serii17***
disponible a gabes mareth
        ",,,,,,
voiture avec chauffeur,130,"Ariana , a month ago",2200,Noir,Manuelle,2023,<1.0L,Kia,Picanto,4,Compacte,Essence,1,"
         louer voiture avec chauffeur a tt la Tunisie
        "
golf 2 a ne pas ratė,6500,"Ben Arous , a month ago",250000,Blanc,Manuelle,1985,1.2L,Volkswagen,Golf,5,Compacte,Diesel,3,"
         golf 2 importė
annėe 1985
mazout 5 CH
ndhifa barcha le kessiba
        "
poste radio fiat Lancia,0,"Tunis , a month ago",2,"

          poste radio fiat Lancia
a vendre
tel:
          







             Afficher le numéro
            



",,,,,,,,,,
voitures,0,"Tunis , 22 days ago",247.000,Noir,Manuelle,2017,1.5L,Dacia,Compacte,5,Dokker,Diesel,8,"

          Dacia Dekker a vendre toute option état neuf
GSM
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
hyundai tucson 4x4 presque neuve,155000,"Tunis , 20 days ago",4650,Gris,Automatique,2023,1.6L,Hyundai,Tucson,10,4 x 4,Essence,8,"
         Puissance fiscale : 10 CV
Puissance réelle DIN : 180 CV
Couple : 265NM / 1500 TM
Transmission Intégrale 4X4
Boite Automatique 7 Vitesses
Finition High Grade
Intérieur Beige Clair / Noir
Toit ouvrant Panoramique
Sellerie Cuir Beige Clair
3 Modes de Conduite : Normal / Eco / Sport
Phares / Feux Full LED
Kilométrage : 4500 Kms
Couleur : Dark Knight (Gris Titane)
        "
⚜️ BMW F30 318i ⚜️ PACK LUXURY,0,"Ariana , 4 days ago",120,Noir,Automatique,2016,1.8L,BMW,Serie 3,7,Compacte,Essence,10,"

          ⚜️ BMW F30 318i ⚜️
PACK LUXURY
Première main
➖ Année : 2016
➖ Kilométrage: 120.000 km
➖ Puissance Fiscale: 7 CH
➖ Energie: Essence
- Toit ouvrant
- BVA
- Intérieur Cuir
- FULL LED
- rétroviseurs rabattables électriques
- radar de recul / caméra
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
HONDA 🏁 HORNET 900🏁,123,"Tunis , 2 days ago",12345,Noir,Manuelle,2002,4,"

          🐝Honda Hornet 900🐝
Série 18***
…Bardo 🌆
Pour plus d’informations
📞
          







             Afficher le numéro
            



         59590 ☎️
        ",,,,,,
pot d'origine rks 125,80,"Ariana , 10 days ago",300,Autre,Manuelle,2023,5,"

          pot d'origine rks
mechi 300klm
80dt fix
          







             Afficher le numéro
            



",,,,,,
1983 Citroën LNA a vendre contact 29215145,3000,"Sfax , 3 days ago",0,Beige,Manuelle,1983,<1.0L,Citroen,2 CV,4,Utilitaire,Essence,2,"

          1983 Citroën LNA a vendre contact
          







             Afficher le numéro
            



"
Classe C,175000,"Sousse , a month ago",33480,Noir,Automatique,2020,1.8L,Mercedes-Benz,Classe C,09,Berline,Essence,7,"
         Classe C pack amg
Année 07/2020
Kilométrage certifié
Toutes options sauf le toit
Radar avant et arrière
Intérieur cuir alcantra
Jantes alu AMG
……..
        "
Pomeau de vitesse PSA,1,"Sousse , 25 days ago",4,"
         pour Peugeot
pour Citroën
        ",,,,,,,,,,
logo bmw,40,"Ariana , 18 days ago",1,"
         logo bmw
        ",,,,,,,,,,
Mercedes class c coupe,0,"Monastir , a month ago",201000,Blanc,Automatique,2007,2.0L,Mercedes-Benz,Classe C Coupe,10,Berline,Essence,7,"

          Tel
          







             Afficher le numéro
            



"
suzuki Swift 2017,26,"Sfax , a month ago",0,Blanc,Manuelle,2017,1.2L,Suzuki,Swift,5,Compacte,Essence,4,"

          moteur mbadel
5chv
4 cylindres
num:
          







             Afficher le numéro
            



"
"Amortisseur Range Rover HSE, Bmw X5",780,"Nabeul , a month ago",3,"
         Amortisseur arrière neuf. jamais installé pour modèle RANGE ROVER HSE/ VOGUE. et BMW X5 de 2013 à 2015
        ",,,,,,,,,,
tivoli,63,"Sfax , 6 days ago",95000,Blanc,Manuelle,2020,1.2L,Ssangyong,Family,6,4 x 4,Essence,7,"
         nouf kol cyy ala original
        "
tronsfo 24v to 12v original,90,"Bizerte , 25 days ago",1,"
         tronsfo 24V.to 12V original
        ",,,,,,,,,,
Trotinette,2000,"Ben Arous , 3 days ago",2022,6,"
         Moteur : puissance 1000 W
Batterie: 36V avec 3 batteries de 12 / 12 Ah
Couleur: carbone
Vitesses: réglable par sélecteur: 5 km/h ou 32 km/h maxi
Autonomie : environ 15/20 km (selon poids du conducteur, revêtement et configuration avec vitesse moyenne de 15 km/h en continu)
Frein avant et arrière: disques
Amortisseur avant : fourche à ressort
Amortisseur arrière : double ressort
Pneu avant tout terrain : 10 pouce
Pneu arrière tout terrain : 10 pouces
Dimensions : 132 x 25 x 114 cm (L x l x H)
Largeur du guidon : 63 cm
Hauteur de selle : réglable (80-94 cm)
Poids à vide : 38 kg
        ",,,,,,,,,
moteur c5,0,"Tunis , a month ago",1,"

          moteur c5 lel bi3 9taya3 1.6 HDI
          







             Afficher le numéro
            



",,,,,,,,,,
⚜️ BMW serie 3 E90 PHASE 2 ⚜️ Première main,0,"Ariana , 8 days ago",40,Gris,Manuelle,2011,1.8L,BMW,Serie 3,8,Compacte,Essence,9,"

          ⚜️ BMW serie 3 E90 PHASE 2 ⚜️
Première main
➖Année: 2011
➖ kilométrage: 40.000 km
➖ 8 cv essence 318i
➡️ ÉTAT ORIGINE
✔️Toit ouvrant
✔️ Écran
✔️ volant multifonctions
✔️ climatronic
✔️ 4 vitres électriques
✔️ rétroviseurs électriques
✔️ xenon
✔️ Rideaux électrique
✔️ordinateur de bord
✔️ Régulateur et limiteur de vitesse
🔄 possibilité d’échange
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
Toyota Prado J120-Barres de toit Longitudinales,800,"Ariana , a day ago",4,"
         Barres de toit Longitudinales en excellent état, comme neuves
Toyota Land Cruiser Prado (J120)
        ",,,,,,,,,,
Golf7,0,"Sfax , a month ago",47000,Gris,Manuelle,2016,1.2L,Volkswagen,Golf 8,5,Autres,Essence,7,"
         voiture neuf
kilométrage 47000
tt options
✔️ GPS
✔ système star & stop
✔️ système Park assisté
✔ volant cuir multifonction
✔ rétroviseur électrique et rabattable
✔ jant alu par ( 17 )
✔climatisation outomatique bizone
✔ radare de reculé avent et arrière
✔ régulateur de vitesse
✔ capteur de pluie et lumière
✔ capteur de penu
✔ connexion bluetooth
✔ ordinateur de bord
✔4 viltre électrique
✔ écran tactile CD , AUX , USB
✔ extra....
        "
booster spirit 2003,2200,"Ariana , a month ago",1,Noir,Manuelle,2003,7,"

          je mets en vente scooter booster spirit modèle 2003 en bon état tout en marche tel
          







             Afficher le numéro
            



         prix 2200 dt
        ",,,,,,
À vendre golf 7 join N.Tel: 21017065,75000,"Médenine , 2 days ago",79000,Noir,Manuelle,2019,<1.0L,Volkswagen,Golf 7,6,Berline,Essence,8,"

          À vendre une golf 7 Join 1.0 tsi 116ch année 03/
          







             Afficher le numéro
            




          km en très bonne état importé récemment d’allemange série 238. Prix négociable dans la limite du raisonnable ! N.Tel:
          







             Afficher le numéro
            



"
🚘Nissan qashqai 🚘,0,"Ariana , 2 days ago",145371,Rouge,Manuelle,2017,1.6L,Nissan,Qashqai,7,Berline,Diesel,10,"

          🚘Nissan qashqai 🚘
✅tout options
✅année 10/ 2017
✅km 145 371
✅ tu 200
✅1.6
✅ 7 cv
✅Gazoil
⚡️On accepte l'échange des voitures⚡️
☎️
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         showroom🚗 MHIRI AUTO🚗
مرحبا بيكم😍😍
📍Résidence Feres lotissement al Yamama Jardin Del Menzah2
        "
Bmw 520i,107000,"Nabeul , 12 days ago",129000,Noir,Automatique,2017,2.0L,BMW,Serie 5,9,Berline,Essence,9,"

          Bmw 520i , possibilité d'échange
Avril 2017
130000km
9cv essence, Luxury tt options
Voiture première main, 4 roues neuf
Téléphone :
          







             Afficher le numéro
            



"
Super faster,0,"Sidi Bouzid , a month ago",Gris,Manuelle,2000,Isuzu,10,Autres,Diesel,7,"

          ايسيزي فاستر
في حالة جيدة
سيدي بوزيد
          







             Afficher le numéro
            



",,,
Mitsubishi pajero,1234567,"Sfax , 12 days ago",1111111,Vert,Manuelle,2000,2.8L,Mitsubishi,Pajero,10,4 x 4,Diesel,10,"

          voiture ndhifa barcha tout option 7 place 4*4 double pont boite 5 doube pont en marche.
direction assistée
4 vitre électrique
num
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



"
BMW E60 525D,40000,"Sousse , 18 days ago",240000,Noir,Automatique,2006,3.0L,BMW,M,11,Autres,Diesel,8,"

          BMW a vende Pack M
num:
          







             Afficher le numéro
            



"
Voiture,1,"Tunis , 18 hours ago",200,Noir,Manuelle,2012,1.2L,Volkswagen,Golf 6,5,Berline,Essence,10,"

          🇩🇪VOLKSWAGEN GOLF 6 🇩🇪
🇩🇪🇩🇪 FINITION TEAM 🇩🇪🇩🇪
⛽ 1.2 L Essence 5 CV Fiscaux .
📆 2012 PREMIÈRE MAIN importer en 2015
TU 179 état d’origine
📟 200 000 KM ‼️
⛔ Voiture Puissante , toutes Options .
Voiture en excellente état 4 pneus neuf finition team parck assiste , chaise chauffante, et pleine d’autres options voiture en excellente état
☎️ TEL : //
          







             Afficher le numéro
            



         //
        "
FIAT GRANDE PUNTO,27000,"Tunis , 10 days ago",163930,Blanc,Manuelle,072016,1.2L,Fiat,Punto,4,Autres,Essence,10,"
         A vendre une belle Fiat grande Punto, fermeture centrale, climatisation, vitres électriques, roues neufs, jantes alu, accoudoir, MP5, caméra de recul, feux 🔥 ambiance, double clés, papiers en règle avec visite technique fin 2024.
Prix peu négociable.
        "
voiture,41500,"Médenine , 19 days ago",195000,Blanc,Manuelle,2018,1.6L,Citroen,Berlingo,7,Utilitaire,Diesel,10,"
         Bon occasion berlingo B9
        "
Iveco 35c11,35,"Ben Arous , a month ago",300,Blanc,Automatique,2006,2.0L,Iveco,Daily,8,Autres,Diesel,5,"
         Iveco 35c11 ndhif
        "
Grande Punto top,20000,"Siliana , 2 days ago",177000,Noir,Manuelle,2010,1.2L,Fiat,Grande Punto,5,Berline,Essence,4,"
         très bon état top
        "
Citroën C15 (5 places),6800,"Zaghouan , a month ago",000000,Manuelle,Blanc,Citroen,<1.0L,1992,C15,Diesel,7,Autres,10,"
         vente Citroën C15
5 places
        "
MG3 neuve,63000,"Ben Arous , a month ago",39,Noir,Manuelle,2023,1.5L,Autres,Autres,6,Autres,Essence,7,"

          Dame vend voiture toute neuve MG3 année 2023, la voiture âgée de 2 semaines avec 39 km seulement et en emballage!!
https://www.automobile.tn/fr/neuf/mg/3/1.5-l-confort-plus#specs
Contactez la Dame au
          







             Afficher le numéro
            



         MERCI.
        "
🚘 Kia Rio Sx comme neuve Full option 🚘,0,"Nabeul , 10 days ago",72000,Gris,Manuelle,2021,1.2L,Kia,Rio,5,Compacte,Essence,10,"

          👑Page Facebook : Ben Amou Auto👑
🚘 Kia Rio Sx comme neuve Full option 🚘
📌 Voiture première main tt neuve📌
✔Model : 2021
✔Kilométrage : 72000 Km
✔Puissance : 5 CV
✔Énergie : essence
📲Téléphone :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         📲
⚡On accepte l'échange⚡
📌 Showroom BEN AMOU AUTO route de Beni Khiar Nabeul à côté du kiosque Shell 📌
        "
Moto,0,"Sfax , a month ago",26000,Gris,Manuelle,2014,4,"
         Nitro a vendre
Kol chy en marche
Toute en origine
        ",,,,,,
Classe b essence,39500,"Sousse , 5 days ago",190,Noir,Manuelle,2014,1.8L,Mercedes-Benz,Classe B,7,Compacte,Essence,5,"

          Mercedes classe B 180 essence 7 ch année 2014 tres poropre .. voiture est de penture d’origine très puissante et économique
          







             Afficher le numéro
            



"
CHERY E3 58772281,22000,"Ariana , 7 days ago",200000,Gris,Manuelle,2018,1.2L,Chery,A3,6,Berline,Essence,4,"

          A vendre CHERY E 3
Tel :
          







             Afficher le numéro
            



"
Dacia dokker,0,"Sfax , a month ago",141,Autre,Manuelle,2019,1.6L,Dacia,Dokker,6,Autres,Diesel,10,"

          Dacia dokker premier main
toute a l'origine
paintur d'origine
kilométrage 141 KLM sertifier avec sa carnet d'entretien
4 pneus tout neuf
clé double jamais démarré
commende de voulant régulateur de vitesse capteur arrière sistheme alarme origine USB bluetooth tout d'origine
fin 2019
karahba nthifa barcha pour plus d'informations contactez
          







             Afficher le numéro
            



"
Accoudoir voiture,50,"Ben Arous , a month ago",4,"

          à vendre Accoudoir de voiture jdid en très bonne état avec 4 port usb et câble
          







             Afficher le numéro
            



",,,,,,,,,,
Toyota Avanza 7 Places,25600,"La Manouba , 14 days ago",279000,Gris,Manuelle,Toyota,2013,3.0L,Avensis,Essence,6,Monospace,8,"
         Toyota Avanza en excellent état, prix légèrement négociable.
        "
voiture Audi 80 à vendre,11000,"Gabès , 5 days ago",000000000,Rouge,Manuelle,1992,1.7L,Audi,80,7,Berline,Essence,8,"
         en bon état année 1992 couleur rouge brique
        "
"⚜️Porsche cayenne Diesel ⚜️
Première main",0,"Ariana , 4 days ago",190,Noir,Automatique,2013,3.0L,Porsche,Cayenne,15,4 x 4,Diesel,10,"

          ⚜️Porsche cayenne Diesel ⚜️
Première main
➖ Année : 2013
➖ Kilometrage : 190.000 km
-Full LED
- Volant multifonctions
- Camera de recul
- Toit ouvrant
- Climatisation avec réglages a deux zones
- Finition en bois
- Sieges électriques mémorisées
- Rideaux...
TEL :
          







             Afficher le numéro
            




          /
          







             Afficher le numéro
            



         🏢 Disponible à Notre Showroom AUTOROOM la soukra SIDI FREJ
        "
Toyota satarlet,5000,"Tunis , 2 days ago",290000,Rouge,Manuelle,1992,1.3L,Toyota,Starlet,4,Compacte,Essence,5,"

          4 chv essance
numéro
          







             Afficher le numéro
            



"
"Peugeot 407 Gasoil 6 CH 1,6 hdi",25000,"Gafsa , 4 days ago",1,Gris,Automatique,2009,1.6L,Peugeot,407,6,Berline,Diesel,4,"
         Peugeot 407 Gasoil 6 CH 1,6 hdi Modele 2009
        "
Polo 5,19500,"Sfax , a month ago",2020000,Manuelle,Gris,Volkswagen,2002,3.0L,Polo,Compacte,4,Essence,6,"
         Polo 5 tout option
* confort line
* climatiseur
* jante aluminium
* fermeture centralisée
* moteur double arbre a came
* 5 pneu neuf
كرهبة نظيفة برشا
        "
FIAT Tipo,1,"Sousse , a month ago",110000,Blanc,Manuelle,2018,1.4L,Fiat,Tipo,6,Compacte,Essence,7,"

          voiture très bonne état
          







             Afficher le numéro
            












             Afficher le numéro
            



"
av. kia carens tres propre,48500,"Tunis , 4 days ago",220,Noir,Automatique,2014,1.7L,Kia,Carens,8,Berline,Diesel,9,"

          a vendre kia carens bva to. voiture bien entretenu spacieuse et confortable pour tous trajets entretien a jour fait reçament .... tel
          







             Afficher le numéro
            



         8 CV DIESEL
Boite Automatique
Antibrouillards Toit Panoramique Ouvrant
Détecteur de luminosité
Détecteur de pluie
Fermeture centralisée
Feux Xenon
Feux de jour LED
Jantes en alliage
Radar de recul Rétroviseurs électriques Rabattable
Vitres teintées
Bluetooth
Boîte à gants réfrigérée
Climatronic Connectivité Aux, usb, iPod
Direction assistée
Ordinateur de bord
Régulateur de vitesse
Siège éléctrique
Vitres électriques & Redeaux latereaux
Volant/levier de vitesse en cuir
Volant multi-fonctions
3 appuis têtes arrières
Volant réglable hauteur/profondeur
la carrosserie : Compacte
        "
Skoda Fabi,33800,"Monastir , 17 days ago",100000,Bleu,Manuelle,2020,1.2L,Skoda,Fabia,5,Compacte,Essence,10,"
         Km : 100.000km
Vitres d’origine
climatisée
écran tactile
rétroviseur électrique
double clés
bien entretenue
        "
AV Audi A3 restylè Kit Rs,69000,"Tunis , a month ago",99100,Gris,Manuelle,2018,1.2L,Audi,A3,6,Berline,Essence,5,"
         Unique Av Audi A3 restylè Kit Rs neuf entretien chez concession Mnihla jante 18 pouces Interieur cuir
        "
Mazda 2 Sedan,4,"Sousse , 7 days ago",100,Rouge,Manuelle,2018,1.5L,Mazda,2,6,Berline,Essence,10,"
         Je mets a vendre Une belle voiture Mazda 2 Sedan année 2018 premiere Main état comme neuf toute options économique du essence tout options CAMÉRA DU RECUL, LECTEUR VIDÉO, GPS TUNISIE, RÉGULATEUR DE VITESSE, TÉL, retrevisseurs rebatables, détecteur de pluie, allumage automatique des phares, antibrouillard, bouton start stop, 4 roues neufs, nouvelle batterie, entretien à la maison de Mazda avec carnet d'entretien
        "
toyota prado,0,"Nabeul , 3 days ago",400,Beige,Manuelle,1999,3.0L,Toyota,Prado,12,4 x 4,Diesel,10,"

          Avendre toyota prado model 1999 tt option 12cv diesel 3L turbo 1kz - taxe (180dt) - 4 vitre electrique et tt les vitres d’origine toyota - climatiseur - bloquaget - fermeture centrale a distance - led avant et arriere - snorkel … pour plus d’info 📞
          







             Afficher le numéro
            



"
"HYUNDAI TUCSON
1.6 L T-GDI 7-DCT 4WD TOP GRADE",155000,"Ben Arous , a month ago",30500,Gris,Automatique,2022,1.6L,Hyundai,Tucson,10,4 x 4,Essence,6,"
         A vendre Hyundai Tucson version Top Grade
        "
climatiseur polo sedan,170,"Sfax , 25 days ago",1,"

          tel :
          







             Afficher le numéro
            



",,,,,,,,,,
58773763,13800,"Tunis , 21 days ago",39999,Blanc,Manuelle,2014,1.3L,Fiat,Ducato,7,Compacte,Diesel,8,"
         Ducato ndhifa
        "
kia rio,1,"Sfax , 6 days ago",200,Blanc,Manuelle,2011,1.4L,Kia,Rio,6,Autres,Essence,10,"
         belle voiture rio
        "
